"INCIDENT_ID","OFFENSE_ID","OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","FIRST_OCCURRENCE_DATE","LAST_OCCURRENCE_DATE","REPORTED_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","GEO_LON","GEO_LAT","DISTRICT_ID","PRECINCT_ID","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"2018252175","2018252175299900","2999","0","criminal-mischief-other","public-disorder","4/15/2018 7:07:00 PM","","4/15/2018 7:25:00 PM","2310 S BROADWAY ST","3144263","1670995","-104.98748950","39.67456220","3","313","rosedale","1","0"
"2018252885","2018252885570700","5707","0","criminal-trespassing","all-other-crimes","4/16/2018 2:29:00 AM","","4/16/2018 3:00:00 AM","295 S BROADWAY ST","3144049","1684456","-104.98798030","39.711519","3","311","baker","1","0"
"2018249264","2018249264240400","2404","0","theft-of-motor-vehicle","auto-theft","1/25/2018 11:00:00 AM","4/12/2018 6:00:00 PM","4/14/2018 1:09:00 PM","3257 S PARKER RD","3183023","1665128","-104.84994360","39.657775","3","323","kennedy","1","0"
"2018248258","2018248258220400","2204","0","burglary-residence-no-force","burglary","4/13/2018 4:00:00 PM","4/13/2018 11:30:00 PM","4/14/2018 1:37:00 AM","1450 N MONROE ST","3156148","1694651","-104.94475410","39.73931110","2","213","congress-park","1","0"
"2018247644","2018247644353200","3532","0","drug-cocaine-possess","drug-alcohol","4/13/2018 6:43:00 PM","","4/13/2018 8:13:00 PM","E HAMPDEN AVE / S IVY WAY","3163180","1663287","-104.92046120","39.65308970","3","324","southmoor-park","1","0"
"2018246862","2018246862131600","1316","0","threats-to-injure","public-disorder","4/5/2018 5:30:00 PM","","4/13/2018 12:53:00 PM","850 S HIGH ST","3150573","1680727","-104.96486940","39.70117890","3","312","washington-park","1","0"
"2018248686","2018248686549902","5499","2","vehicular-eluding-no-chase","all-other-crimes","4/14/2018 5:17:00 AM","","4/14/2018 7:34:00 AM","I70 HWYEB / N PEORIA ST","3183537","1707472","-104.84703710","39.77400660","5","512","stapleton","1","0"
"2018247001","2018247001549900","5499","0","traf-other","all-other-crimes","4/13/2018 1:58:00 PM","","4/13/2018 2:33:00 PM","E MAXWELL PL / N WORCHESTER ST","3187913","1714894","-104.831275","39.79429340","5","521","montbello","1","0"
"2018246912","2018246912540100","5401","0","traffic-accident-hit-and-run","traffic-accident","4/13/2018 9:30:00 AM","","4/13/2018 1:30:00 PM","200 BLOCK N BROADWAY ST","3144270","1687399","-104.98713570","39.71959470","3","311","speer","0","1"
"2018247523","2018247523544100","5441","0","traffic-accident","traffic-accident","4/13/2018 5:52:00 PM","","4/13/2018 5:52:00 PM","S MONACO ST / E BELLEVIEW AVE","3165681","1652767","-104.91182090","39.62416530","3","324","southmoor-park","0","1"
"20186003430","20186003430239901","2399","1","theft-bicycle","larceny","4/11/2018 6:20:00 AM","4/11/2018 6:35:00 AM","4/13/2018 12:34:00 PM","3239 S PARKER RD","3182338","1665229","-104.852374","39.65806570","3","323","kennedy","1","0"
"2018246646","2018246646570700","5707","0","criminal-trespassing","all-other-crimes","4/13/2018 11:12:00 AM","","4/13/2018 11:35:00 AM","4965 N FEDERAL BLVD","3133323","1711825","-105.02559690","39.78681150","1","111","regis","1","0"
"2018251303","2018251303544100","5441","0","traffic-accident","traffic-accident","4/15/2018 10:55:00 AM","","4/15/2018 11:42:00 AM","I25 HWYNB / W 6TH AVE","3136918","1689574","-105.01322930","39.72567650","1","123","baker","0","1"
"20186003449","20186003449230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","4/12/2018 12:00:00 AM","4/13/2018 8:30:00 AM","4/13/2018 5:25:00 PM","1615 N ALBION ST","3157685","1695572","-104.93926860","39.74181350","2","222","south-park-hill","1","0"
"2018252597","2018252597549900","5499","0","traf-other","all-other-crimes","4/15/2018 10:40:00 PM","","4/15/2018 10:54:00 PM","S FEDERAL BLVD / W ALAMEDA AVE","3133608","1684273","-105.02509530","39.71117230","4","412","westwood","1","0"
